Title,Labels,Milestone,File
"TASK 00 — Baseline build and repo hygiene","codex,refactor,quality","IOBusMonitor Reform","tasks/TASK_00_BASELINE_BUILD_AND_REPO_HYGIENE.md"
"TASK 01 — Fix target framework mismatch and dependency cleanup","codex,refactor,quality","IOBusMonitor Reform","tasks/TASK_01_FIX_TARGET_FRAMEWORK_AND_DEPENDENCY_CLEANUP.md"
"TASK 02 — Fix critical polling runtime bugs","codex,refactor,quality","IOBusMonitor Reform","tasks/TASK_02_FIX_POLLING_RUNTIME_BUGS.md"
"TASK 03 — SQLite storage reliability and performance","codex,refactor,quality","IOBusMonitor Reform","tasks/TASK_03_STORAGE_SQLITE_RELIABILITY_AND_PERFORMANCE.md"
"TASK 04 — Data loading and history query performance","codex,refactor,quality","IOBusMonitor Reform","tasks/TASK_04_DATA_LOADING_AND_HISTORY_PERFORMANCE.md"
"TASK 05 — Add test project and core unit tests","codex,refactor,quality","IOBusMonitor Reform","tasks/TASK_05_TEST_PROJECT_AND_CORE_UNIT_TESTS.md"
"TASK 06 — Device status and error model","codex,refactor,quality","IOBusMonitor Reform","tasks/TASK_06_DEVICE_STATUS_AND_ERROR_MODEL.md"
"TASK 07 — WPF shell redesign","codex,refactor,quality","IOBusMonitor Reform","tasks/TASK_07_UI_SHELL_REDESIGN_WPF.md"
"TASK 08 — Dashboard redesign and virtualization","codex,refactor,quality","IOBusMonitor Reform","tasks/TASK_08_DASHBOARD_REDESIGN_AND_VIRTUALIZATION.md"
"TASK 09 — Admin workflow validation and test connection","codex,refactor,quality","IOBusMonitor Reform","tasks/TASK_09_ADMIN_WORKFLOW_VALIDATION_AND_TEST_CONNECTION.md"
"TASK 10 — Demo mode and sample configuration","codex,refactor,quality","IOBusMonitor Reform","tasks/TASK_10_DEMO_MODE_AND_SAMPLE_CONFIGURATION.md"
"TASK 11 — Release packaging and versioning","codex,refactor,quality","IOBusMonitor Reform","tasks/TASK_11_RELEASE_PACKAGING_AND_VERSIONING.md"
"TASK 12 — README, docs and GitHub presentation","codex,refactor,quality","IOBusMonitor Reform","tasks/TASK_12_README_DOCS_AND_GITHUB_PRESENTATION.md"
"TASK 13 — Commercial support positioning","codex,refactor,quality","IOBusMonitor Reform","tasks/TASK_13_COMMERCIAL_SUPPORT_POSITIONING.md"
